Akov,Nedeltcho,Jelev ,,Rep,2019-06-06
Ariki,Nobutaka ,,有木信貴,Rep,2016-10-11
Chao,Benjamin Sze Chung ,,趙思聰,RO,2018-09-17
Choi,Ka Fong ,,徐嘉鋒,Rep,2017-11-22
Fishman,Andrew,Mark ,,RO,2019-01-16
Fu,Kaidi ,,傅凱迪,Rep,2019-05-14
Kobayashi,Yohsuke ,,小林陽介,Rep,2017-07-26
Kwan,Irene Michelle ,,關凱之,Rep,2019-03-22
Kwong,Samantha See Man ,,鄺思敏,Rep,2016-11-28
Law,Chun Hin ,,羅俊顯,Rep,2019-02-18
Lee,Jinchul ,,李鎮喆,Rep,2016-10-11
Nakahashi,Toru ,,中橋透,Rep,2017-01-09
Philippe,Matthew,Aaron ,,Rep,2019-06-19
Suh,Soobene,,,Rep,2016-12-20
Tamaki,Yasuhiro,,,Rep,2017-03-10
To,Eric,Wun-hse ,,RO,2019-05-03
Wang,Yi  ,,王翼,Rep,2017-04-05
Watanabe,Takuma, ,,Rep,2018-01-15
Wong,Christopher Chi Kin ,,黃子建,Rep,2018-02-12
Wong,Hillman ,,黃曉雲,RO,2016-10-11
Wong,Wai Chung  ,,黃偉忠,Rep,2018-10-04
Woo,Yung Hong Kelly ,,鄔永宏,Rep,2019-06-06
Yamada,Shinya ,,山田真也,Rep,2017-08-11
Yamashita,Tamisuke ,,山下民輔,Rep,2017-03-10
Zhao,Yunchao ,,趙云超,Rep,2018-12-12
Zhuo,Hua ,,卓華,Rep,2017-05-23
