"id","title","videoUrl"
"b8b82620-ac2e-11e9-8a69-bb4b29648562","30 Minute Core Strength - Fitness Blender Advanced Core Workout","https://www.youtube.com/embed/N5ViYeGJOCA?rel=0&&showinfo=0"
"b94aa220-ac2e-11e9-8a69-bb4b29648562","Shoulders, Back, Chest and Arm Workout for Strong Toned Upper Body","https://www.youtube.com/embed/EkeWuJE3aW8?rel=0&&showinfo=0"
"b9f07f10-ac2e-11e9-8a69-bb4b29648562","Alternating Repetition Upper Body Workout for Strength Coordination and Control","https://www.youtube.com/embed/PdebNr25GTo?rel=0&&showinfo=0"
"baa6fdd0-ac2e-11e9-8a69-bb4b29648562","HIIT Cardio and Butt and Thigh Workout - HIIT and Strength","https://www.youtube.com/embed/PJh9lPFppuo?rel=0&&showinfo=0"
"bb67dcd0-ac2e-11e9-8a69-bb4b29648562","Abs and HIIT Cardio Workout - No Equipment Lower Body and Core  Challenge","https://www.youtube.com/embed/M9Z4YsinNMk?rel=0&&showinfo=0"
"bc190460-ac2e-11e9-8a69-bb4b29648562","HIIT Cardio and Lower Body Strength Workout with Warm Up and Cool Down","https://www.youtube.com/embed/rGyPHFcpSDI?rel=0&&showinfo=0"
"bcafed30-ac2e-11e9-8a69-bb4b29648562","10 Minute Abs Workout with Kelli and Daniel - At Home Abs Workout","https://www.youtube.com/embed/0fxhP9LFhDw?rel=0&&showinfo=0"
"bd3a52e0-ac2e-11e9-8a69-bb4b29648562","HIIT Cardio and Upper Body Workout - Intense Total Body Workout","https://www.youtube.com/embed/8elSCV-56ww?rel=0&&showinfo=0"
"bdf194f0-ac2e-11e9-8a69-bb4b29648562","Low Impact Cardio and Abs Workout with Warm Up and Cool Down","https://www.youtube.com/embed/BGP9J0Nn2Hw?rel=0&&showinfo=0"
"bf870200-ac2e-11e9-8a69-bb4b29648562","Quick Sweat Lifting Session: 10 Minute Butt and Thigh Workout","https://www.youtube.com/embed/YFKSubwodZU?rel=0&&showinfo=0"
"c03a2560-ac2e-11e9-8a69-bb4b29648562","Dynamic Total Body HIIT and Core Workout","https://www.youtube.com/embed/OUo0QofYx28?rel=0&&showinfo=0"
"c0f6bea0-ac2e-11e9-8a69-bb4b29648562","Fat Burning HIIT Cardio Workout with Advanced and Low Impact Mods","https://www.youtube.com/embed/UtSARFyV2Wg?rel=0&&showinfo=0"
"c18df590-ac2e-11e9-8a69-bb4b29648562","Functional Upper Body Workout for Strength and Coordination","https://www.youtube.com/embed/ifi6q8CQl80?rel=0&&showinfo=0"
"c357e020-ac2e-11e9-8a69-bb4b29648562","Intense At Home Pyramid HIIT Workout with Warm Up & Cool Down","https://www.youtube.com/embed/uTUxS7MMq08?rel=0&&showinfo=0"
"c3f44730-ac2e-11e9-8a69-bb4b29648562","Fat Burning HIIT Cardio Workout","https://www.youtube.com/embed/QOHJTIIfs9g?rel=0&&showinfo=0"
"c4cb9460-ac2e-11e9-8a69-bb4b29648562","20 Minute Pilates Workout: Pilates Butt and Thigh Workout","https://www.youtube.com/embed/RZgIv9tVvLE?rel=0&&showinfo=0"
"c59d6350-ac2e-11e9-8a69-bb4b29648562","10 Minute Butt and Thigh Workout - No Equipment Lower Body Workout","https://www.youtube.com/embed/YyBcMVQylas?rel=0&&showinfo=0"
"c6269080-ac2e-11e9-8a69-bb4b29648562","Get Strong! Upper Body Workout for Strength with Descending Reps","https://www.youtube.com/embed/wpTVnDwTd_M?rel=0&&showinfo=0"
"c6db88a0-ac2e-11e9-8a69-bb4b29648562","Total Body Cardio Workout to Burn Fat and Boost Energy","https://www.youtube.com/embed/KakbbW7Fz9Y?rel=0&&showinfo=0"
"c77a60b0-ac2e-11e9-8a69-bb4b29648562","Fat Burning HIIT Cardio Workout with No Equipment","https://www.youtube.com/embed/5Yz9odanXN4?rel=0&&showinfo=0"
"c80bf250-ac2e-11e9-8a69-bb4b29648562","Mass Building Lower Body Workout","https://www.youtube.com/embed/bosWj6aPRBc?rel=0&&showinfo=0"
"c8cd6d90-ac2e-11e9-8a69-bb4b29648562","1000 Calorie Workout for 4 Million Subscribers! At Home Workout to Burn 1000 Calories","https://www.youtube.com/embed/jLi5CcyTFgQ?rel=0&&showinfo=0"
"c9929250-ac2e-11e9-8a69-bb4b29648562","At Home Butt and Thigh Workout with No Equipment","https://www.youtube.com/embed/qUjOdcAi27g?rel=0&&showinfo=0"
"cac91680-ac2e-11e9-8a69-bb4b29648562","Cardio Kickboxing and Lower Body Strength Workout","https://www.youtube.com/embed/FR1BtM2CpRg?rel=0&&showinfo=0"
"cb5ca3f0-ac2e-11e9-8a69-bb4b29648562","No Equipment Butt and Thigh Workout + Fat Burning Cardio Intervals","https://www.youtube.com/embed/oJs7hzlHWco?rel=0&&showinfo=0"
"cc592c60-ac2e-11e9-8a69-bb4b29648562","No Equipment Upper Body Workout with Warm Up and Cool Down","https://www.youtube.com/embed/n-gj7ZOHrU0?rel=0&&showinfo=0"
"cd32ea90-ac2e-11e9-8a69-bb4b29648562","At Home Upper Body Strength Workout for Arms, Shoulders, Chest & Back","https://www.youtube.com/embed/Z_5DW7K9QCk?rel=0&&showinfo=0"
"cdcce0a0-ac2e-11e9-8a69-bb4b29648562","Quick 10 Minute Upper Body Strength Workout - (Bored Easily)","https://www.youtube.com/embed/xRt4LSANIoU?rel=0&&showinfo=0"
"ce775170-ac2e-11e9-8a69-bb4b29648562","No Equipment 10 Minute Butt and Thigh Workout at Home","https://www.youtube.com/embed/RhrmTsLpcn0?rel=0&&showinfo=0"
"cff39130-ac2e-11e9-8a69-bb4b29648562","Build a Booty Workout - Strength and Pilates Workout for Butt and Thighs","https://www.youtube.com/embed/LzRfwdCPQSI?rel=0&&showinfo=0"
"d0894180-ac2e-11e9-8a69-bb4b29648562","No Equipment Butt and Thigh Workout at Home - Bodyweight Lower Body Workout","https://www.youtube.com/embed/Hp39axsuFs8?rel=0&&showinfo=0"
