Date,Open,High,Low,Close,Adj Close,Volume
2000-10-09,3.382270,3.399790,3.364740,3.382270,1.343749,18041646
2000-10-10,3.347220,3.399790,3.329690,3.382270,1.393178,12326523
2000-10-11,3.382270,3.382270,3.294640,3.329690,1.371519,16376867
2000-10-12,3.329690,3.329690,3.294640,3.312170,1.364303,14672218
2000-10-13,3.277120,3.277120,3.224540,3.259590,1.342645,12534632
2000-10-16,3.259590,3.259590,3.259590,3.259590,1.342645,0
2000-10-17,3.329690,3.347220,3.294640,3.312170,1.364303,10013190
2000-10-18,3.294640,3.329690,3.224540,3.294640,1.357082,20868241
2000-10-19,3.294640,3.312170,3.224540,3.242070,1.335428,21428844
2000-10-20,3.259590,3.277120,3.207020,3.224540,1.328208,14759167
2000-10-23,3.224540,3.224540,3.136920,3.154450,1.299337,16458480
2000-10-24,3.154450,3.189490,3.119400,3.154450,1.299337,9452467
2000-10-25,3.154450,3.259590,3.154450,3.259590,1.342645,5090360
2000-10-26,3.189490,3.399790,3.189490,3.399790,1.400394,21046886
2000-10-27,3.399790,3.399790,3.399790,3.399790,1.400394,0
2000-10-30,3.399790,3.399790,3.347220,3.399790,1.400394,7087507
2000-10-31,3.399790,3.469890,3.399790,3.452360,1.422048,20348685
2000-11-01,3.469890,3.487410,3.417320,3.417320,1.407615,10755865
2000-11-02,3.399790,3.399790,3.312170,3.347220,1.378740,14229748
2000-11-03,3.364740,3.364740,3.224540,3.259590,1.342645,29988374
2000-11-06,3.277120,3.329690,3.277120,3.294640,1.357082,7381972
2000-11-07,3.329690,3.382270,3.312170,3.347220,1.378740,11152608
2000-11-08,3.329690,3.364740,3.329690,3.347220,1.378740,4559837
2000-11-09,3.347220,3.382270,3.347220,3.382270,1.393178,8772515
2000-11-10,3.347220,3.347220,3.312170,3.329690,1.371519,6505993
2000-11-13,3.312170,3.347220,3.294640,3.329690,1.371519,12792591
2000-11-14,3.347220,3.347220,3.312170,3.347220,1.378740,15857560
2000-11-15,3.347220,3.364740,3.329690,3.347220,1.378740,11431768
2000-11-16,3.329690,3.329690,3.312170,3.312170,1.364303,14637134
2000-11-17,3.312170,3.329690,3.294640,3.294640,1.357082,22244675
2000-11-20,3.294640,3.382270,3.294640,3.329690,1.371519,16693774
2000-11-21,3.312170,3.347220,3.294640,3.347220,1.378740,7761436
2000-11-22,3.347220,3.347220,3.294640,3.312170,1.364303,11358272
2000-11-23,3.294640,3.434840,3.294640,3.434840,1.414832,19389673
2000-11-24,3.364740,3.399790,3.364740,3.382270,1.393178,8334305
2000-11-27,3.382270,3.434840,3.364740,3.417320,1.407615,18764558
2000-11-28,3.382270,3.434840,3.382270,3.417320,1.407615,8295017
2000-11-29,3.382270,3.469890,3.329690,3.469890,1.429268,16791376
2000-11-30,3.469890,3.469890,3.382270,3.434840,1.414832,35659719
2000-12-01,3.364740,3.364740,3.294640,3.364740,1.385957,20984482
2000-12-04,3.364740,3.452360,3.347220,3.452360,1.422048,28330964
2000-12-05,3.452360,3.452360,3.417320,3.434840,1.414832,18540736
2000-12-06,3.469890,3.469890,3.417320,3.417320,1.407615,27347226
2000-12-07,3.417320,3.487410,3.417320,3.487410,1.436485,18661817
2000-12-08,3.504940,3.610090,3.487410,3.592560,1.479797,50733876
2000-12-11,3.592560,3.697710,3.592560,3.680190,1.515893,34122035
2000-12-12,3.680190,3.680190,3.557510,3.610090,1.487018,14447096
2000-12-13,3.645140,3.680190,3.645140,3.645140,1.501455,12377417
2000-12-14,3.627610,3.627610,3.592560,3.610090,1.487018,7374334
2000-12-15,3.592560,3.627610,3.557510,3.592560,1.479797,14438288
2000-12-18,3.592560,3.715240,3.539990,3.662660,1.508672,23236775
2000-12-19,3.680190,3.715240,3.662660,3.697710,1.523109,12623153
2000-12-20,3.697710,3.855430,3.697710,3.837910,1.580858,40032531
2000-12-21,3.837910,3.872960,3.785330,3.837910,1.580858,36413989
2000-12-22,3.855430,3.872960,3.837910,3.855430,1.588075,20428695
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,3.855430,4.013160,3.855430,3.995630,1.645825,27588788
2000-12-28,3.995630,4.030680,3.925530,3.995630,1.645825,21989875
2000-12-29,3.978110,4.030680,3.837910,4.030680,1.660261,19099999
2001-01-01,4.030680,4.030680,4.030680,4.030680,1.660261,0
2001-01-02,3.995630,3.995630,3.908010,3.925530,1.616950,9314687
2001-01-03,3.890480,3.890480,3.750280,3.820380,1.573638,11771885
2001-01-04,3.943060,3.960580,3.610090,3.627610,1.494234,38701655
2001-01-05,3.627610,3.680190,3.539990,3.592560,1.479797,58946852
2001-01-08,3.592560,3.750280,3.575040,3.715240,1.530330,24752368
2001-01-09,3.750280,3.890480,3.697710,3.855430,1.588075,41369462
2001-01-10,3.890480,3.908010,3.855430,3.855430,1.588075,24905469
2001-01-11,3.855430,3.890480,3.750280,3.767810,1.551984,12908370
2001-01-12,3.820380,3.820380,3.715240,3.750280,1.544763,19178927
2001-01-15,3.785330,3.820380,3.627610,3.627610,1.494234,23631267
2001-01-16,3.680190,3.732760,3.662660,3.697710,1.523109,10532743
2001-01-17,3.697710,3.855430,3.697710,3.837910,1.580858,36530890
2001-01-18,3.855430,3.855430,3.732760,3.802860,1.566421,20064443
2001-01-19,3.855430,3.872960,3.732760,3.750280,1.544763,26369717
2001-01-22,3.732760,3.855430,3.680190,3.855430,1.588075,19612555
2001-01-23,3.837910,3.837910,3.767810,3.820380,1.573638,4474432
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,3.820380,3.837910,3.715240,3.802860,1.566421,9861935
2001-01-30,3.802860,3.943060,3.802860,3.908010,1.609733,38632612
2001-01-31,3.908010,3.943060,3.802860,3.925530,1.616950,19690251
2001-02-01,3.925530,4.013160,3.872960,3.995630,1.645825,26924466
2001-02-02,3.995630,3.995630,3.908010,3.925530,1.616950,9628541
2001-02-05,3.925530,3.943060,3.855430,3.908010,1.609733,12881619
2001-02-06,3.908010,3.960580,3.872960,3.943060,1.624170,10887744
2001-02-07,3.960580,4.030680,3.925530,3.995630,1.645825,14365249
2001-02-08,4.013160,4.205930,3.978110,4.170880,1.718011,37802256
2001-02-09,4.135830,4.240980,4.100780,4.205930,1.732448,42414085
2001-02-12,4.188400,4.188400,4.030680,4.100780,1.689136,10065739
2001-02-13,4.118300,4.118300,4.048200,4.083250,1.681916,13739503
2001-02-14,4.065730,4.083250,4.013160,4.030680,1.660261,15449658
2001-02-15,4.013160,4.048200,4.013160,4.030680,1.660261,10026645
2001-02-16,4.030680,4.030680,3.890480,3.943060,1.624170,10647041
2001-02-19,3.925530,4.030680,3.925530,4.013160,1.653045,5950517
2001-02-20,4.030680,4.083250,4.030680,4.065730,1.674699,6389247
2001-02-21,4.030680,4.083250,4.030680,4.083250,1.681916,15288123
