Date,Open,High,Low,Close,Adj Close,Volume
2000-10-09,4.760120,4.760120,4.583820,4.583820,0.776854,11249626
2000-10-10,4.613200,4.613200,4.510360,4.525050,0.766894,11539708
2000-10-11,4.480970,4.525050,4.451590,4.480970,0.759423,7299784
2000-10-12,4.495660,4.583820,4.436900,4.495660,0.761913,11203593
2000-10-13,4.407510,4.407510,4.231210,4.378130,0.791277,14102374
2000-10-16,4.378130,4.378130,4.378130,4.378130,0.791277,0
2000-10-17,4.348750,4.363440,4.216520,4.216520,0.762068,14352576
2000-10-18,4.172450,4.172450,4.113680,4.143060,0.748792,10646766
2000-10-19,4.113680,4.172450,4.069600,4.113680,0.743481,10731681
2000-10-20,4.260600,4.363440,4.245910,4.304670,0.778000,9477379
2000-10-23,4.319360,4.525050,4.260600,4.436900,0.801899,9114889
2000-10-24,4.407510,4.451590,4.319360,4.319360,0.780655,5016821
2000-10-25,4.378130,4.495660,4.348750,4.480970,0.809863,7067409
2000-10-26,4.378130,4.583820,4.378130,4.554430,0.823140,7664422
2000-10-27,4.554430,4.554430,4.554430,4.554430,0.823140,0
2000-10-30,4.642580,4.671970,4.569120,4.671970,0.844383,6408142
2000-10-31,4.671970,4.730730,4.671970,4.671970,0.844383,7143989
2000-11-01,4.671970,4.862960,4.671970,4.848270,0.876247,11036833
2000-11-02,4.818880,5.142100,4.818880,5.127410,0.926697,22657730
2000-11-03,5.083330,5.127410,4.965800,5.039260,0.910765,8169924
2000-11-06,5.024570,5.053950,4.892340,4.995180,0.902799,10827062
2000-11-07,4.965800,4.995180,4.936420,4.965800,0.897489,4955854
2000-11-08,4.995180,5.098030,4.980490,5.024570,0.908110,11867233
2000-11-09,4.936420,5.083330,4.936420,5.053950,0.913420,5699028
2000-11-10,5.053950,5.053950,4.921720,4.936420,0.892179,4298341
2000-11-13,4.789500,4.833570,4.701350,4.774810,0.862970,7790398
2000-11-14,4.745420,4.862960,4.745420,4.818880,0.870936,4965384
2000-11-15,4.907030,4.907030,4.760120,4.789500,0.865625,4955300
2000-11-16,4.789500,4.833570,4.716040,4.789500,0.865625,7436552
2000-11-17,4.745420,4.789500,4.716040,4.716040,0.852348,3519766
2000-11-20,4.701350,4.936420,4.701350,4.936420,0.892179,6857113
2000-11-21,4.877650,4.921720,4.848270,4.921720,0.889522,4489752
2000-11-22,4.921720,4.936420,4.760120,4.774810,0.862970,7045457
2000-11-23,4.760120,4.833570,4.686660,4.789500,0.865625,5952334
2000-11-24,4.833570,4.995180,4.833570,4.936420,0.892179,7627187
2000-11-27,4.936420,5.024570,4.936420,5.024570,0.908110,5650753
2000-11-28,5.024570,5.024570,4.936420,4.995180,0.902799,4193796
2000-11-29,4.995180,4.995180,4.833570,4.833570,0.873590,5922580
2000-11-30,4.848270,4.877650,4.642580,4.642580,0.839072,8570259
2000-12-01,4.598510,4.804190,4.583820,4.789500,0.865625,7640361
2000-12-04,4.789500,4.789500,4.686660,4.701350,0.849694,6840934
2000-12-05,4.730730,4.774810,4.671970,4.671970,0.844383,8388102
2000-12-06,4.789500,5.024570,4.745420,5.024570,0.908110,19043716
2000-12-07,4.980490,5.289020,4.980490,5.244940,0.947939,28968654
2000-12-08,5.244940,5.244940,5.083330,5.083330,0.918730,8767710
2000-12-11,5.083330,5.259630,5.083330,5.171480,0.934662,8844410
2000-12-12,5.200870,5.303710,5.171480,5.289020,0.955905,14287682
2000-12-13,5.318400,5.318400,5.230250,5.274330,0.953250,8179763
2000-12-14,5.230250,5.289020,5.186180,5.230250,0.945284,5162216
2000-12-15,5.171480,5.303710,5.171480,5.274330,0.953250,10680486
2000-12-18,5.244940,5.406550,5.215560,5.362480,0.969182,12790975
2000-12-19,5.406550,5.450630,5.347780,5.406550,0.977147,7885482
2000-12-20,5.362480,5.450630,5.259630,5.421240,0.979802,18218609
2000-12-21,5.303710,5.641620,5.274330,5.597540,1.011665,26690475
2000-12-22,5.582850,5.656310,5.524080,5.641620,1.019632,14319860
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,5.641620,5.715080,5.612240,5.626930,1.016977,7604327
2000-12-28,5.641620,5.671000,5.509390,5.538780,1.001046,11443195
2000-12-29,5.553470,5.626930,5.465320,5.582850,1.009011,11054877
2001-01-01,5.582850,5.582850,5.582850,5.582850,1.009011,0
2001-01-02,5.568160,5.671000,5.538780,5.656310,1.022287,6302872
2001-01-03,5.582850,5.612240,5.524080,5.582850,1.009011,9193107
2001-01-04,5.700390,5.920760,5.700390,5.920760,1.070082,43432912
