Date,Open,High,Low,Close,Adj Close,Volume
2001-09-12,9.243330,9.523440,4.901770,7.002530,7.002530,1305957
2001-09-13,7.842830,8.683130,7.282630,7.982880,7.982880,709315
2001-09-14,8.262980,9.383390,7.842830,7.842830,7.842830,780004
2001-09-17,8.403030,8.403030,7.422680,7.562730,7.562730,145090
2001-09-18,7.982880,9.243330,7.982880,8.403030,8.403030,747302
2001-09-19,8.963230,9.803540,8.543080,9.103280,9.103280,534521
2001-09-20,8.823180,8.963230,8.543080,8.683130,8.683130,137522
2001-09-21,8.543080,8.823180,7.842830,8.403030,8.403030,112816
2001-09-24,null,null,null,null,null,null
2001-09-25,8.403030,8.683130,8.122930,8.262980,8.262980,49554
2001-09-26,8.543080,8.543080,8.122930,8.262980,8.262980,45555
2001-09-27,8.403030,8.683130,8.262980,8.683130,8.683130,52124
2001-09-28,null,null,null,null,null,null
2001-10-01,null,null,null,null,null,null
2001-10-02,null,null,null,null,null,null
2001-10-03,8.543080,8.683130,8.403030,8.683130,8.683130,47983
2001-10-04,8.683130,8.683130,8.543080,8.543080,8.543080,27847
2001-10-05,8.403030,8.403030,8.122930,8.122930,8.122930,23277
2001-10-08,8.262980,8.403030,7.842830,7.842830,7.842830,90967
2001-10-09,7.982880,8.543080,7.562730,7.562730,7.562730,176365
2001-10-10,7.562730,7.982880,7.562730,7.702780,7.702780,150517
2001-10-11,8.122930,8.262980,7.422680,7.422680,7.422680,216350
2001-10-12,7.562730,8.262980,7.562730,7.842830,7.842830,198785
2001-10-15,8.262980,9.103280,8.262980,8.963230,8.963230,264333
2001-10-16,8.963230,10.223700,8.963230,10.083600,10.083600,373008
2001-10-17,10.223700,10.223700,9.663490,10.083600,10.083600,152231
2001-10-18,9.663490,11.064000,9.383390,10.923900,10.923900,113673
2001-10-19,10.923900,11.904300,10.783900,10.783900,10.783900,402997
2001-10-22,10.643800,11.064000,10.363700,10.503800,10.503800,266761
2001-10-23,11.064000,11.064000,10.503800,10.783900,10.783900,226347
2001-10-24,10.923900,10.923900,10.503800,10.783900,10.783900,88254
2001-10-25,null,null,null,null,null,null
2001-10-26,10.783900,11.904300,10.783900,11.344100,11.344100,960796
2001-10-29,11.344100,11.624200,11.064000,11.344100,11.344100,414565
2001-10-30,10.783900,11.904300,10.783900,11.484100,11.484100,644053
2001-10-31,11.764200,12.744600,11.764200,11.904300,11.904300,332023
2001-11-01,12.324400,13.164800,12.184400,12.884700,12.884700,500248
2001-11-02,13.164800,13.584900,12.744600,13.304800,13.304800,342876
2001-11-05,13.024700,13.304800,12.744600,12.884700,12.884700,86112
2001-11-06,13.024700,13.164800,12.604600,13.024700,13.024700,158800
2001-11-07,12.744600,13.164800,12.744600,13.164800,13.164800,43556
2001-11-08,12.884700,13.304800,12.744600,13.304800,13.304800,56408
2001-11-09,null,null,null,null,null,null
2001-11-12,13.304800,13.304800,12.884700,13.024700,13.024700,11424
2001-11-13,12.744600,13.444800,12.744600,12.884700,12.884700,109103
2001-11-14,12.884700,13.024700,12.884700,13.024700,13.024700,17994
2001-11-15,12.884700,13.024700,12.884700,13.024700,13.024700,30418
2001-11-16,13.024700,13.024700,12.884700,12.884700,12.884700,30989
2001-11-19,13.304800,13.865000,13.164800,13.724900,13.724900,69975
2001-11-20,13.724900,14.145100,13.584900,13.724900,13.724900,149803
2001-11-21,13.865000,16.806101,13.865000,16.245899,16.245899,542090
2001-11-22,16.245899,17.366301,15.965800,17.366301,17.366301,205069
2001-11-23,17.786400,19.186899,17.646400,17.926500,17.926500,509959
2001-11-26,18.206600,18.346600,17.646400,17.926500,17.926500,119528
2001-11-27,17.646400,17.646400,15.965800,16.946100,16.946100,284040
2001-11-28,16.806101,17.226200,16.525999,16.806101,16.806101,79543
2001-11-29,16.525999,18.206600,16.525999,18.206600,18.206600,82256
2001-11-30,18.206600,18.346600,18.066500,18.206600,18.206600,49268
2001-12-03,18.066500,18.206600,17.226200,18.206600,18.206600,54552
2001-12-04,18.206600,18.206600,17.786400,17.786400,17.786400,37843
2001-12-05,17.926500,18.066500,16.245899,17.926500,17.926500,96251
2001-12-06,17.366301,17.646400,17.086201,17.226200,17.226200,39414
2001-12-07,17.086201,17.506300,16.806101,17.506300,17.506300,33131
2001-12-10,17.506300,17.506300,17.366301,17.506300,17.506300,55837
2001-12-11,17.506300,17.506300,16.806101,17.086201,17.086201,28418
2001-12-12,16.806101,18.626699,16.806101,18.066500,18.066500,110532
2001-12-13,17.646400,18.346600,17.506300,17.646400,17.646400,62263
2001-12-14,17.646400,17.646400,17.226200,17.646400,17.646400,29846
2001-12-17,17.226200,17.786400,17.226200,17.226200,17.226200,24991
2001-12-18,17.506300,17.646400,17.226200,17.506300,17.506300,34131
2001-12-19,17.786400,17.786400,17.506300,17.506300,17.506300,65548
2001-12-20,17.646400,17.646400,17.366301,17.506300,17.506300,9282
2001-12-21,17.226200,17.646400,17.226200,17.506300,17.506300,28561
2001-12-24,17.926500,17.926500,17.926500,17.926500,17.926500,714
2001-12-25,null,null,null,null,null,null
2001-12-26,null,null,null,null,null,null
2001-12-27,17.926500,17.926500,17.926500,17.926500,17.926500,10568
2001-12-28,17.926500,18.486700,17.646400,18.486700,18.486700,32417
2001-12-31,18.206600,18.486700,18.206600,18.486700,18.486700,29132
2002-01-01,null,null,null,null,null,null
2002-01-02,17.926500,18.486700,17.926500,18.486700,18.486700,26990
2002-01-03,null,null,null,null,null,null
2002-01-04,18.626699,18.626699,18.486700,18.626699,18.626699,12138
2002-01-07,17.926500,17.926500,17.506300,17.926500,17.926500,27990
2002-01-08,18.206600,18.206600,18.206600,18.206600,18.206600,5284
2002-01-09,18.206600,18.206600,17.926500,18.206600,18.206600,17994
2002-01-10,18.066500,18.206600,17.926500,18.206600,18.206600,8997
2002-01-11,17.926500,18.206600,17.646400,18.206600,18.206600,14423
2002-01-14,18.486700,18.626699,18.486700,18.626699,18.626699,9996
2002-01-15,18.066500,18.346600,17.786400,17.926500,17.926500,47126
2002-01-16,18.066500,18.206600,18.066500,18.206600,18.206600,11996
2002-01-17,18.206600,18.206600,18.066500,18.206600,18.206600,22563
2002-01-18,17.926500,18.066500,17.926500,18.066500,18.066500,20707
2002-01-21,17.926500,17.926500,17.506300,17.506300,17.506300,46412
2002-01-22,17.366301,17.506300,16.806101,17.506300,17.506300,45698
2002-01-23,17.366301,17.506300,17.366301,17.506300,17.506300,5712
2002-01-24,17.506300,17.506300,17.226200,17.506300,17.506300,22992
2002-01-25,17.506300,17.646400,17.506300,17.646400,17.646400,14281
2002-01-28,17.786400,17.786400,17.506300,17.786400,17.786400,6426
2002-01-29,17.786400,17.786400,17.786400,17.786400,17.786400,10139
2002-01-30,18.066500,18.066500,18.066500,18.066500,18.066500,5712
2002-01-31,null,null,null,null,null,null
2002-02-01,18.066500,18.066500,17.506300,17.646400,17.646400,11282
2002-02-04,17.646400,18.066500,17.646400,17.646400,17.646400,10282
2002-02-05,17.926500,17.926500,17.646400,17.926500,17.926500,8568
