Alfonsi,Sebastien,,,Rep,2013-05-15
Cheung,Christine Wai Kan ,,張蔚瑾,Rep,2013-05-02
Darcet,Jacques,Didier ,,Rep,2014-08-18
De Mollerat Du Jeu,Michael,Charles Georges Jacques Marie ,,Rep,2014-08-18
Gave,Charles,Jean Hubert ,,Rep,2004-03-09
Gave,Louis,Vincent ,,RO,2003-06-09
Ho,Alfred Kai Shing ,,何啟承,RO,2007-03-01
Kok,Jonathan,Jiancong ,,Rep,2016-08-22
Lai,Marco Sai Chung ,,黎世忠,Rep,2006-10-23
Legland,Arnaud,Pierre Daniel ,,Rep,2017-11-17
Luk,Tsz Wai ,,陸子維,Rep,2007-03-08
Ma,Gavin,See-Yin ,,Rep,2013-06-11
Poon,Dick Lam ,,潘迪藍,Rep,2018-06-14
Wong,Eric Chi Ho ,,王志浩,Rep,2013-05-02
Zhao,Meng Ji ,,趙萌佶,Rep,2016-10-04
